id,species
HGDP00511,homo_sapiens
HGDP00512,homo_sapiens
HGDP00513,homo_sapiens
HGDP00514,homo_sapiens
HGDP00515,homo_sapiens
HGDP00516,homo_sapiens
HGDP00517,homo_sapiens
HGDP00518,homo_sapiens
HGDP00519,homo_sapiens
HGDP00520,homo_sapiens
HGDP00521,homo_sapiens
HGDP00522,homo_sapiens
HGDP00523,homo_sapiens
HGDP00524,homo_sapiens
HGDP00525,homo_sapiens
HGDP00526,homo_sapiens
HGDP00527,homo_sapiens
HGDP00528,homo_sapiens
HGDP00529,homo_sapiens
HGDP00530,homo_sapiens
HGDP00531,homo_sapiens
HGDP00533,homo_sapiens
HGDP00534,homo_sapiens
HGDP00535,homo_sapiens
HGDP00536,homo_sapiens
HGDP00537,homo_sapiens
HGDP00538,homo_sapiens
HGDP00539,homo_sapiens
ref_pan_troglodytes,pan_troglodytes
ref_gorilla_gorilla_gorilla,gorilla_gorilla
ref_pongo_abelii,pongo_abelii
